"Enabled","Habilitado"
"Yes","Sim"
"No","Não"
"Sort Order","Posição"
"Show Estimate","Mostrar tempo de entrega"
"This shipping method is not available. To use this shipping method, please contact us.","Método de entrega não disponível."
"Ship to Applicable Countries","Entrega para países aplicaveis"
"Ship to Specific Countries","Entrega para países específicos"
"Token to access","Token de acesso"
"You can find it on the Frenet Panel","Disponível no painel da Frenet"
"Delivery services","Serviços de Entrega"
"%1 (up to %2 business days*)","%1 (até %2 dias úteis*)"
"Method Name","Nome do método"
"Displayed Error Message","Mensagem de erro exibida"
"Carrier Title","Nome da transportadora"
"Additional Days to","Dias Adicionais"
"Add days to delivery time","Adicionar dias ao tempo de entrega"
"Estimate Shipping","Estimar Frete"
"Centimeters","Centímetros"
"Millimeters","Milímetros"
"Choose from millimeters or centimeters according to product registration","Escolha entre metros ou centímetros de acordo com o cadastro do produto"
"Dimension","Dimensão utilizada"
"Show on Product Page","Exibir na página do produto"
"Show estimate shipping on product page","Exibe a opção de cotação na página de detalhe do produto"
"Show error message when an error occurs","Exibir mensagem quando ocorrer algum erro de cotação?"
"Show error Message","Exibir mensagem de erro"
"Order not found","Pedido não encontrado"
"Does not have delivery","O pedido ainda não possui entrega"
"This order does not belong to the customer","Esse pedido não pertence a esse usuário"
"Unable to read response, or response is empty","Ocorreu algum problema com a cotação, tente novamente mais tarde."
"There was a small internal error","Houve um pequeno erro interno. Por favor tente novamente mais tarde."
